"VIGENCIA","N_RECORDS","DEUDA_TOTAL","PCT_VALUE"
1994,685,3556166439,0.03
1995,683,6016044122,0.05
1996,735,8479900791,0.07
1997,534,7377011651,0.06
1998,463,15417191897,0.12
1999,424,14977733697,0.12
2000,350,6363309009,0.05
2001,308,14065979200,0.11
2002,252,12284699000,0.09
2003,288,10357085320,0.08
2004,361,10740612000,0.08
2005,398,15706140000,0.12
2006,608,24527320000,0.19
2007,800,38137546000,0.29
2008,1280,68302273671,0.53
2009,1795,39903866964,0.31
2010,6890,137262792060,1.06
2011,6686,97654579669,0.75
2012,11697,158364228481,1.22
2013,19123,237133013115,1.83
2014,25125,355534120268,2.74
2015,43991,705817088850,5.44
2016,52580,872754995419,6.72
2017,82719,1107525179279,8.53
2018,92639,1238618106172,9.54
2019,147755,1038412647613,8
2020,365774,979791590732,7.55
2021,394641,1067963072163,8.23
2022,588730,1153772529737,8.89
2023,730309,1192852691196,9.19
2024,799091,1122974167100,8.65
2025,1066930,1190820857498,9.18
2026,19127,24392007000,0.19
